,Unnamed: 0,channel_id,channel_title,description,view_count,subscriber_count,video_count,created_time,uploads,other_links
0,0,UCn_l37ETRGxVsVqPAZM-y7w,Onkiify,"Ahoy! Gamers What is Up it's your Boi Onkiify.
I'm a Content Creator for WWE Undefeated and WWE 2K22
SUBSCRIBE And Turn On The Notification For Some Fun Videos
For Business inquires: pinroad47developer@gmail.com
",1443714,4820,193,2017-05-18T17:27:05Z,UUn_l37ETRGxVsVqPAZM-y7w,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbHFKZll1SFZfWjhQdFRPeUFVel9ud2J4SHFkQXxBQ3Jtc0ttbG5GbVM3WjNHUkZ1QzdpWTFUdDFFRVNSbkNITEU0NzNZa3l5LWpBYUF4aW5Fb2VoNy1sOUR0SFJTeTN6aWgyTXhMb0gtel9HZXFVWk5xall4NE1fTmw1bkFZWnpHbnJ6NV9uQzVUS2lmYk0xdXh6MA&q=https%3A%2F%2Ftwitter.com%2Ficaniwill47', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa2hKcmRLb3JQeWdXc0l3YS01X2RJeUJuTjVPd3xBQ3Jtc0tuNEI0SkhBSldNX1dqTFp0QjVzTlhHSHJaTG9LZUM0anRoWGctRkdUNjgxWlFLTTFjR1pEUkZ1bFdlMVlJdnFBVTVHV0J5QThPdVE4RzRqbzdhT05hXzVzSjAyLUExRHZYTERheVRBTzBpQ3JQWUtkWQ&q=https%3A%2F%2Fwww.instagram.com%2F_onkar_29%2F']"
1,1,UCg3811K2k6ZW0T9wrUyq7UQ,Boyzz World Gaming,"Sup Guys
                 I'm just a Weirdo Who Loves Watching Anime

Anime= Love ❤️
Sub If You Agree!! 
                                 
                      



",761326,1690,196,2020-09-07T06:42:54.28756Z,UUg3811K2k6ZW0T9wrUyq7UQ,['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa29pZ2pUMzA4OHVvajBCVnNSWjhqTURBbHdCZ3xBQ3Jtc0tsNVJFMGkyZ2dnN21BbUdvcE5mS05ZSklSb2JZWHdKOHZ4b1p3U3NHaTV1Z3dTdkF4aU5XRzhiWU9NU0V2U0FVZzM5OE1LR0Q5NUw5RlBJb1M0Tkt3OU5PM28xV2VzaWxyUHc0Wm1ram91VWlnREhqZw&q=https%3A%2F%2Finstagram.com%2Fdhanurved_dass%3Figshid%3DZDdkNTZiNTM%3D']
2,2,UCO1-i4iqe_Kg0B-nwt5W0Gg,Majnu Gaming,"Hello Gamer's 😍

Hello Family, 
Mera Name Hai Majnu, (Deepak Singh), 
I'm Free Fire Player, 
Free Fire Video Creater, Entertainment Video Creater, Funny Video Creater, Fact Video Creater, 

Hindi Commentry, 
Thanks For Support

My Dream :+1M Family 
Jaldi Se Complete Karba Do

My Birthday :+ Diwali 

_________LIKE____
____SUBSCRIBE_____
_________SHARE_____



",290799,4690,468,2021-05-28T08:27:39.183399Z,UUO1-i4iqe_Kg0B-nwt5W0Gg,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbk9vNHdKR2t0T1pKYjFaWmdsSlIxaXhObTIxUXxBQ3Jtc0trdFJjdnlZbERISERfdkN1RVZuV29hWUhybWhzYVl4V2ZuRXhVUldEcnN6M1FjU1hiTTQzS2EtWjYxN1puV05lMk42TGtPaWtkVTcyY0cwaHQ3bGZycXIzQzF5by12OG5UNjRvRTJkSENlZzZldWNGOA&q=https%3A%2F%2Fwww.facebook.com%2Fdeepakkumarsingh.deepak.3572', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbjVEUGZNTlpiVEZpTG1qcjhudGtUSEItR2RqZ3xBQ3Jtc0ttWk9CXzF6X0REblVNclpLRFN0clo2ZWFWdWdqNW96clU1QjNwcUQ2dEtkLWY5Y0p1ZTRRMmlPMjQxR2RsQzRJWThxbWZ0eVMzcU5SSDZNYU05OFpwdDQ1TFVyZEJiT0NEZWlHNjluN25JWHdOS0dRbw&q=https%3A%2F%2Finstagram.com%2Fmajnu_gaming94%3Figshid%3DYmMyMTA2M2Y%3D']"
3,3,UC6AhmVhClcDx2RPsFFw_fAA,SELEM YT,"
AGAR AAP LOG FREE FIRE LOVER❤️ HO TO MERA CHANNEL KO SUBSCRIBE KAR DO PLEASE 😊☺️

अगर आप लोग फ्री फायर लवर हो तो मेरा चैनल को सब्सक्राइब करें प्लीज 

SUPPORT KA BAHUT JYADA JARURI HA PLEASE KAR DENA YAAR 😊☺️ 

समर्थन का बहुत ज्यादा जरुरी हा कृपया कर देना यार 😔😔

1k Subscriber☑️

 5k Subscriber☑️

10k Subscriber☑️

 20k Subscriber☑️

  30k Subscriber☑️

   40k Subscriber☑️

    50k Subscriber☑️
       
     100k Subscriber☑️

       1 MILLION ❌???🤔

LOVE YOU ❤️ FREE FIRE ALL FAMILY 😊☺️😊

FREE FIRE KHELO AUR KHELTE RAHO MY ALL FAMILY 😍 ",6427859,133000,339,2021-03-03T00:59:54.797482Z,UU6AhmVhClcDx2RPsFFw_fAA,[]
4,4,UC5v-gTzCpaY257sxx-8P_-Q,Paglaa Tech,"1000 subscribers - 31/12/2021
10000 subscribers - 11/10/2022
20000 subscribers - 25/10/2022
30000 subscribers - 16/12/2022
40000 subscribers - 23/12/2022
50000 subscribers - 01/01/2023
60000 subscribers - 14/01/2023
70000 subscribers - 18/01/2023
80000 subscribers - 22/01/2023
90000 subscribers - 29/01/2023
100000 subscribers - 06/02/2023
",17097445,147000,184,2016-05-16T16:06:36Z,UU5v-gTzCpaY257sxx-8P_-Q,[]
5,5,UCHOrSFKttbAKpcyjnBfVqkw,Prabhat Gamer,"Hi guys I am Prabhat from Uttarakhand❤️
🎬This is a Official Gaming Channel Of.
  💗 PRABHAT GAMER 🔥

😘 WELCOME TO OUR YT CHANNEL
 [PRABHAT GAMER🔥]


👉IF YOU ARE A REAL GAMING LOVER SO DON'T FORGET TO.
💗BE A FAMILY MEMBER OF
[PRABHAT GAMER]

  👉So Don't Forget To,

     👍Like
     👥 Share
     💗 Subscribe 
🎈[Most important]🎉

👉In This Channel You will Get Important & Interesting Gaming video's of Free Fire Community Daily.

✨ Game Name = Free Fire [Garena]

👉Our video category [Free Fire]🎬

◾ Unknown & mysterious fact of Free Fire 🔥
◾ Free Fire Update
◾ YouTube Shorts Videos
◾ Gameplay Video
◾ Giveaways
◾ Funny gameplay
◾ Best shayari
◾ Funny moments


👉If You Are Interested in these topic so don't Forget To [subscribe] Our channel.

 For business inquiries -  PrabhatBrand1@gmail.com

⚫ Thanks For visit
⚫Keep Loving Keep support

◾ Thanks to ALL💗😘
",154045275,2150000,249,2022-05-22T13:37:27.30071Z,UUHOrSFKttbAKpcyjnBfVqkw,[]
6,6,UCQRSY8W2A1DST5qtm8NNhMA,SUBHAM HORE,"So Hey Guys...!
SUBHAM HORE Hare And Welcome To My YouTube Channel.

Thanks For Loving Support...😍
Paid Promotion➞ subhamhore8@gmail.com",53777584,1110000,1072,2019-09-22T03:47:52Z,UUQRSY8W2A1DST5qtm8NNhMA,[]
7,7,UC2IuURiiASwNigfQJtXiRdQ,SILENT GIRL GAMING,"🔔🔔 bell all pe set karlo 🔔🔔plz
❤️My name =Anisa

👉game name=silent°girl
😘Free fire uid=1349809239
✌️Make a funny and tips-
 trick sad free fire videos.
🥺Bhot jayda mehnat lgti h family
Please ap sabi support kia kro🙏🏻

✨App sabhi ho mere pas isly mai acha content laa pa ri hu.
Hmesa muje motivate krty rhna silent family.🥺💫

❤️DIL SE SUKIRYA APP SBI KA ❤️
MY SWEET SILENT FAMILY I REALLY LOVE U AND RESPECT U 🤞🤞


Other live channal link below 👇👇👇👇here go fast 🔥


",260787957,2590000,1407,2021-03-12T11:47:09.443209Z,UU2IuURiiASwNigfQJtXiRdQ,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbW15VmVLdFpYdzBCYTZEQVNObHlVX0Q4dkhWUXxBQ3Jtc0tubzVFVmNZQUpFNnh3dnF6NW5Fdk1WX3llQkV2X2FTSGc2cDN2UF9IZkMzVFF2dEhVS2w4cFJHcE5MRTItR3RUcFBkZjBleVpteTU0OW15OE5OU1FONXpwWHJmZ0VjQ2l0S1BRTVVrOWc0RWFvVUxUcw&q=https%3A%2F%2Finstagram.com%2Fsilent__girl__gaming%3Futm_medium%3Dcopy_link', 'https://youtube.com/channel/UC9KXyxZv-8ophvA63pFytLQ', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbHBSOFdBUnFheE5iN3hZcnZvcV90UTJtNjhIZ3xBQ3Jtc0tsam1KUEpkb2ZfOG1MU0NaZnhjVm02emhzTjZqenpsZV9UaENnaWY2U0RsT1hwbUxXMkJvV3hPWGVjemU2ZGZFYmk5Ym5Sbk42dmFiTnc4V3JWRUgxVkI1VlBfc296M1pCUXlfelR5WnAyU3BOdHEwRQ&q=silentgirl8595%40gmail.com']"
8,8,UC8k6b-QBPW79SOvO4C9hBOQ,Ziyan Ki Gang,"Actors Funny Motivational Video Creator, Shorts Creator 

Hello Doston Welcome To Apna Channel ❤️

To Mere Bhai Jesa Aap Log Dekh Hi Rahe Hain Ke Ye Apna Channel Hai To Bhai Subscribe Karo Yaar or Apne Bhai Ko Support karo Bohot sara wala 👍☺️

Bhai log hum aapke liye Bohot pyari pyari video laate Rahenge bas aap logo ka support chahiye mere Bhaiyon or Beheno ❤️
",1640577,10300,384,2022-06-08T17:46:44.155104Z,UU8k6b-QBPW79SOvO4C9hBOQ,[]
9,9,UCo-61NMiPlPP6er3I9AcDvw,Comedy Box R k Gautam,"हँसते रहो हँसाते रहो बस हमारा यही एक प्रयास है, यदि कोई आदमी हमारे द्वारा हस्ता है तो मैं अपने आप को धन्य मानता हूं कि कोई मेरे कारण हस तो रहा है जय सिया राम",2852009,10100,297,2021-03-30T09:16:03.775671Z,UUo-61NMiPlPP6er3I9AcDvw,[]
